BANK_ID,ASSETS,COST,P_LABOR_w1,P_FUNDS_w2,P_DEPOSI_w3,CON_LOAN_y1,NONC_LOA_y2,SECURITI_y3,t,POLICY
3506,373813.2152,13973.47282,29.64713721,0.000878211,0.025946532,4709.309185,222059.1005,146483.1519,36,3
3506,368389.1415,4240.348993,7.705952125,0.000135916,0.008602319,4286.110945,218219.3576,145000.2347,37,3
3506,373245.1734,8593.414649,15.83294431,0.000213189,0.017247924,4197.861434,218212.3434,149777.0086,38,3
3506,365728.8371,12889.77547,23.34760806,0.000249594,0.026372256,4665.25175,221710.133,138066.0888,39,3
3506,375866.5,17191.18292,32.63448206,0.002459698,0.034710846,4583.448673,233410.9573,136462.5669,40,3
3506,373189.116,4361.760042,8.416168509,0.002494065,0.008650934,4173.110497,236471.4438,131270.4166,41,3
3506,371307.2492,8591.998382,15.83480324,0.005011293,0.016883236,4220.97645,242426.5157,123483.643,42,3
3506,371772.861,12770.16586,24.15629666,0.006226688,0.025180475,4705.593396,247351.5912,118378.8859,43,3
3506,378437.8645,17004.08424,32.83698415,0.007315833,0.033949742,3911.931833,260593.4556,112812.2045,44,3
3506,380629.8449,4368.236251,8.685869,0.003964102,0.008303206,4063.371319,262436.4009,112984.5875,45,3
3506,388484.1558,8866.445593,17.74025556,0.007642059,0.016591422,3198.418599,272433.4269,111996.0701,46,3
3506,390805.2791,13423.01603,25.12628569,0.011063743,0.025274551,2654.604321,278361.4378,107948.4637,47,4
3506,403782.3576,18093.86888,34.23676088,0.013370361,0.033000208,2505.965316,294906.0837,104534.8703,48,4
3506,426375.5383,4895.152467,9.444594789,0.003480647,0.008331164,2337.112038,307348.3359,114913.7965,49,4
3506,490109.8252,11170.74976,18.15323642,0.006634508,0.017303652,3080.619966,344271.4474,139812.0717,50,4
3506,474930.0062,16684.79221,25.59260097,0.011606033,0.0267507,3076.472055,346436.6111,122500.5922,51,4
3506,500125.6162,22048.50221,33.22521541,0.013913553,0.033157065,2773.27215,347797.7666,146817.921,52,4
3506,492357.8244,5210.822655,9.126463589,0.001531929,0.00762693,2820.583875,346942.0283,140133.4925,53,4
3506,502204.2166,10451.18322,18.29646807,0.003180199,0.015032497,3257.634391,362222.6273,134136.6037,54,4
3506,509626.1444,15812.88915,27.58883769,0.00431244,0.022950112,3359.451233,366824.1154,136644.4837,55,4
